condition,question_id,n_models,mean_score,sd_across_models,sem_across_models
prior,Q1,20,40.15,41.000648,9.168024
prior,Q2,20,63.135,18.901887,4.22659
prior,Q3,20,83.81,13.462028,3.010201
prior,Q4,20,42.37,22.522342,5.036149
prior,Q5,20,35.27,22.415129,5.012175
baseline,Q1,20,9.375,16.368097,3.660018
baseline,Q2,20,48.905,20.585827,4.603131
baseline,Q3,20,69.875,19.53415,4.367969
baseline,Q4,20,53.35,27.056345,6.049983
baseline,Q5,20,31.245,25.563244,5.716115
argument_a,Q1,20,19.82,27.491982,6.147394
argument_a,Q2,20,42.435,25.888044,5.788743
argument_a,Q3,20,79.0,19.295268,4.314553
argument_a,Q4,20,69.15,29.333984,6.559278
argument_a,Q5,20,30.815,26.064904,5.82829
argument_b,Q1,20,25.96,26.050425,5.825052
argument_b,Q2,20,63.18,31.20755,6.97822
argument_b,Q3,20,72.17,22.134924,4.949519
argument_b,Q4,20,28.515,29.441133,6.583237
argument_b,Q5,20,46.075,31.29476,6.997721
