group,model_label,display_model,question_id,condition,n,mean,sem,formatted
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q1,prior,10,0.0,0.0,0.0 (0.0)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q1,baseline,10,0.0,0.0,0.0 (0.0)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q1,argument_a,10,0.0,0.0,0.0 (0.0)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q1,argument_b,10,5.5,0.5,5.5 (0.5)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q2,prior,10,83.0,1.105542,83.0 (1.1)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q2,baseline,10,68.0,2.494438,68.0 (2.5)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q2,argument_a,10,65.0,0.0,65.0 (0.0)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q2,argument_b,10,81.0,1.795055,81.0 (1.8)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q3,prior,10,91.0,1.0,91.0 (1.0)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q3,baseline,10,87.0,0.816497,87.0 (0.8)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q3,argument_a,10,89.7,1.40673,89.7 (1.4)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q3,argument_b,10,85.5,0.5,85.5 (0.5)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q4,prior,10,24.0,5.364492,24.0 (5.4)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q4,baseline,10,27.5,4.232808,27.5 (4.2)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q4,argument_a,10,32.5,2.813657,32.5 (2.8)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q4,argument_b,10,5.5,0.5,5.5 (0.5)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q5,prior,10,64.5,1.57233,64.5 (1.6)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q5,baseline,10,35.5,2.409472,35.5 (2.4)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q5,argument_a,10,64.0,1.0,64.0 (1.0)
